CMDLINE .venv/bin/python save_vocab.py
MEM 1.507812 1784205148.8161
MEM 22.628906 1784205148.9165
MEM 26.695312 1784205149.0168
MEM 36.789062 1784205149.1170
MEM 36.789062 1784205149.2173
MEM 36.789062 1784205149.3177
MEM 36.789062 1784205149.4180
MEM 36.789062 1784205149.5184
MEM 36.789062 1784205149.6189
MEM 36.789062 1784205149.7192
MEM 36.800781 1784205149.8195
MEM 36.808594 1784205149.9199
MEM 36.816406 1784205150.0203
MEM 36.828125 1784205150.1207
MEM 36.832031 1784205150.2212
MEM 36.832031 1784205150.3215
MEM 36.832031 1784205150.4219
MEM 36.832031 1784205150.5222
MEM 36.839844 1784205150.6226
MEM 36.847656 1784205150.7229
MEM 36.847656 1784205150.8233
MEM 36.847656 1784205150.9237
MEM 36.847656 1784205151.0241
MEM 36.855469 1784205151.1244
MEM 36.863281 1784205151.2248
MEM 36.863281 1784205151.3252
MEM 36.863281 1784205151.4255
MEM 36.863281 1784205151.5257
MEM 36.867188 1784205151.6261
MEM 36.875000 1784205151.7264
MEM 36.878906 1784205151.8267
MEM 36.878906 1784205151.9271
MEM 36.878906 1784205152.0275
MEM 36.882812 1784205152.1278
MEM 36.890625 1784205152.2282
MEM 36.894531 1784205152.3286
MEM 36.894531 1784205152.4290
MEM 36.894531 1784205152.5293
MEM 36.894531 1784205152.6297
MEM 36.906250 1784205152.7301
MEM 36.910156 1784205152.8304
MEM 36.910156 1784205152.9307
MEM 36.910156 1784205153.0311
MEM 36.914062 1784205153.1314
MEM 36.921875 1784205153.2317
MEM 36.925781 1784205153.3320
MEM 36.925781 1784205153.4323
MEM 36.925781 1784205153.5326
MEM 36.925781 1784205153.6329
MEM 36.933594 1784205153.7332
MEM 36.941406 1784205153.8336
MEM 36.941406 1784205153.9340
MEM 36.941406 1784205154.0344
MEM 36.941406 1784205154.1347
MEM 36.949219 1784205154.2350
MEM 36.957031 1784205154.3354
MEM 36.957031 1784205154.4357
MEM 36.957031 1784205154.5360
MEM 36.957031 1784205154.6364
MEM 36.960938 1784205154.7367
MEM 36.972656 1784205154.8370
MEM 36.972656 1784205154.9374
MEM 36.976562 1784205155.0377
MEM 36.984375 1784205155.1380
MEM 39.687500 1784205155.2382
MEM 39.687500 1784205155.3406
MEM 39.687500 1784205155.4410
MEM 50.371094 1784205155.5446
MEM 56.562500 1784205155.6448
MEM 80.675781 1784205155.7479
MEM 90.265625 1784205155.8482
MEM 98.816406 1784205155.9485
MEM 92.500000 1784205156.0488
MEM 92.714844 1784205156.1490
MEM 96.003906 1784205156.2493
MEM 99.066406 1784205156.3495
MEM 99.066406 1784205156.4498
MEM 91.710938 1784205156.5500
MEM 94.660156 1784205156.6503
MEM 95.945312 1784205156.7505
MEM 102.093750 1784205156.8508
MEM 102.093750 1784205156.9568
MEM 102.093750 1784205157.0584
MEM 102.093750 1784205157.1587
MEM 95.386719 1784205157.2590
MEM 98.859375 1784205157.3593
MEM 99.839844 1784205157.4597
MEM 96.390625 1784205157.5601
MEM 101.191406 1784205157.6603
MEM 96.937500 1784205157.7606
MEM 96.937500 1784205157.8646
MEM 100.222656 1784205157.9648
MEM 100.285156 1784205158.0651
MEM 95.402344 1784205158.1677
MEM 95.402344 1784205158.2679
MEM 100.234375 1784205158.3692
MEM 103.812500 1784205158.4695
MEM 103.812500 1784205158.5697
MEM 103.906250 1784205158.6700
MEM 99.773438 1784205158.7702
MEM 99.773438 1784205158.8705
MEM 98.890625 1784205158.9707
MEM 102.312500 1784205159.0726
MEM 96.503906 1784205159.1728
MEM 101.527344 1784205159.2766
MEM 101.527344 1784205159.3769
MEM 105.199219 1784205159.4782
