CMDLINE .venv/bin/python save_vocab.py
MEM 0.609375 1784286271.5474
MEM 32.558594 1784286271.6525
MEM 37.414062 1784286271.7567
MEM 37.414062 1784286271.8570
MEM 37.414062 1784286271.9573
MEM 37.414062 1784286272.0576
MEM 48.687500 1784286272.1579
MEM 67.359375 1784286272.2582
MEM 88.539062 1784286272.3585
MEM 82.183594 1784286272.4587
MEM 84.023438 1784286272.5605
MEM 80.812500 1784286272.6607
MEM 85.000000 1784286272.7610
MEM 86.648438 1784286272.8612
MEM 86.703125 1784286272.9615
MEM 86.707031 1784286273.0618
MEM 86.707031 1784286273.1620
MEM 86.707031 1784286273.2623
MEM 90.500000 1784286273.3626
MEM 90.500000 1784286273.4629
MEM 90.500000 1784286273.5633
MEM 90.500000 1784286273.6637
MEM 90.500000 1784286273.7640
MEM 90.500000 1784286273.8642
MEM 90.519531 1784286273.9645
MEM 90.519531 1784286274.0686
MEM 90.519531 1784286274.1689
MEM 90.523438 1784286274.2726
MEM 90.523438 1784286274.3729
MEM 90.527344 1784286274.4732
MEM 95.296875 1784286274.5750
MEM 95.296875 1784286274.6753
MEM 88.542969 1784286274.7755
MEM 91.515625 1784286274.8758
MEM 91.652344 1784286274.9761
MEM 92.191406 1784286275.0764
MEM 92.191406 1784286275.1766
MEM 92.191406 1784286275.2770
MEM 92.218750 1784286275.3773
MEM 93.875000 1784286275.4775
MEM 93.875000 1784286275.5778
MEM 90.957031 1784286275.6781
MEM 90.957031 1784286275.7784
MEM 90.957031 1784286275.8787
MEM 90.957031 1784286275.9806
MEM 92.214844 1784286276.0811
MEM 99.550781 1784286276.1814
MEM 95.886719 1784286276.2847
MEM 97.339844 1784286276.3886
MEM 97.343750 1784286276.4889
MEM 97.343750 1784286276.5892
MEM 97.343750 1784286276.6895
MEM 97.351562 1784286276.7899
MEM 97.351562 1784286276.8902
MEM 97.351562 1784286276.9905
MEM 98.082031 1784286277.0907
MEM 98.082031 1784286277.1910
MEM 98.082031 1784286277.2913
MEM 98.082031 1784286277.3966
MEM 98.082031 1784286277.5006
MEM 98.082031 1784286277.6032
MEM 98.921875 1784286277.7035
MEM 98.921875 1784286277.8038
MEM 98.921875 1784286277.9041
MEM 98.921875 1784286278.0045
MEM 98.921875 1784286278.1048
MEM 98.921875 1784286278.2051
MEM 98.925781 1784286278.3055
MEM 98.925781 1784286278.4086
MEM 98.925781 1784286278.5126
MEM 98.925781 1784286278.6166
MEM 98.925781 1784286278.7169
MEM 98.933594 1784286278.8172
MEM 98.933594 1784286278.9175
MEM 98.933594 1784286279.0178
MEM 98.937500 1784286279.1181
MEM 98.937500 1784286279.2184
MEM 98.937500 1784286279.3186
MEM 98.941406 1784286279.4189
MEM 98.941406 1784286279.5192
MEM 98.941406 1784286279.6194
MEM 98.941406 1784286279.7197
MEM 98.941406 1784286279.8199
MEM 99.640625 1784286279.9203
MEM 99.640625 1784286280.0206
MEM 99.640625 1784286280.1210
MEM 99.644531 1784286280.2247
MEM 99.644531 1784286280.3250
MEM 99.644531 1784286280.4252
MEM 101.734375 1784286280.5260
MEM 101.734375 1784286280.6263
MEM 101.734375 1784286280.7283
MEM 101.738281 1784286280.8286
MEM 101.738281 1784286280.9289
MEM 102.054688 1784286281.0291
MEM 102.058594 1784286281.1294
MEM 102.058594 1784286281.2327
MEM 102.062500 1784286281.3330
MEM 102.062500 1784286281.4332
MEM 102.519531 1784286281.5335
MEM 102.519531 1784286281.6347
MEM 102.519531 1784286281.7351
MEM 102.523438 1784286281.8356
MEM 102.523438 1784286281.9360
MEM 102.523438 1784286282.0407
MEM 102.921875 1784286282.1417
MEM 102.921875 1784286282.2421
MEM 102.921875 1784286282.3435
MEM 102.921875 1784286282.4446
MEM 102.925781 1784286282.5448
MEM 102.925781 1784286282.6451
MEM 102.925781 1784286282.7454
MEM 102.929688 1784286282.8456
MEM 102.937500 1784286282.9458
MEM 102.937500 1784286283.0487
MEM 103.339844 1784286283.1489
MEM 104.250000 1784286283.2527
MEM 104.250000 1784286283.3550
MEM 104.250000 1784286283.4553
MEM 104.250000 1784286283.5556
MEM 104.250000 1784286283.6559
MEM 104.250000 1784286283.7562
MEM 104.250000 1784286283.8567
MEM 104.250000 1784286283.9572
MEM 104.253906 1784286284.0576
MEM 104.253906 1784286284.1579
MEM 104.253906 1784286284.2583
MEM 104.253906 1784286284.3587
MEM 104.253906 1784286284.4590
MEM 104.257812 1784286284.5594
MEM 104.261719 1784286284.6597
MEM 104.261719 1784286284.7607
MEM 104.265625 1784286284.8617
MEM 104.265625 1784286284.9619
MEM 105.621094 1784286285.0646
MEM 105.730469 1784286285.1686
MEM 105.734375 1784286285.2689
MEM 105.734375 1784286285.3691
MEM 105.742188 1784286285.4694
MEM 105.742188 1784286285.5696
MEM 105.742188 1784286285.6699
MEM 115.011719 1784286285.7701
MEM 115.011719 1784286285.8704
MEM 115.015625 1784286285.9706
MEM 115.015625 1784286286.0709
MEM 115.015625 1784286286.1712
MEM 115.019531 1784286286.2766
MEM 115.019531 1784286286.3769
MEM 115.023438 1784286286.4782
MEM 115.023438 1784286286.5785
MEM 115.027344 1784286286.6806
MEM 115.039062 1784286286.7809
MEM 115.039062 1784286286.8811
MEM 115.039062 1784286286.9818
MEM 115.039062 1784286287.0821
MEM 122.371094 1784286287.1823
MEM 122.371094 1784286287.2843
MEM 122.371094 1784286287.3846
MEM 122.371094 1784286287.4886
MEM 122.371094 1784286287.5889
MEM 122.371094 1784286287.6892
MEM 122.371094 1784286287.7913
MEM 122.371094 1784286287.8916
MEM 122.371094 1784286287.9919
MEM 122.371094 1784286288.0927
MEM 122.371094 1784286288.1966
MEM 122.371094 1784286288.2987
MEM 122.371094 1784286288.3990
MEM 122.371094 1784286288.4993
MEM 122.371094 1784286288.5996
MEM 122.371094 1784286288.7027
MEM 122.371094 1784286288.8029
MEM 122.371094 1784286288.9032
MEM 122.371094 1784286289.0035
MEM 122.371094 1784286289.1038
MEM 122.371094 1784286289.2041
MEM 122.371094 1784286289.3043
MEM 122.371094 1784286289.4046
MEM 122.371094 1784286289.5049
MEM 122.371094 1784286289.6052
MEM 122.371094 1784286289.7055
MEM 122.371094 1784286289.8058
MEM 122.371094 1784286289.9061
MEM 122.371094 1784286290.0064
MEM 122.371094 1784286290.1066
MEM 122.371094 1784286290.2086
MEM 122.371094 1784286290.3088
MEM 122.371094 1784286290.4091
MEM 122.371094 1784286290.5093
MEM 122.371094 1784286290.6096
MEM 122.371094 1784286290.7099
MEM 122.371094 1784286290.8165
MEM 122.371094 1784286290.9168
MEM 122.371094 1784286291.0171
MEM 122.371094 1784286291.1206
MEM 122.371094 1784286291.2218
MEM 122.371094 1784286291.3220
MEM 122.371094 1784286291.4223
MEM 122.371094 1784286291.5226
MEM 122.371094 1784286291.6246
MEM 122.371094 1784286291.7248
MEM 122.371094 1784286291.8251
MEM 122.371094 1784286291.9254
MEM 122.371094 1784286292.0257
MEM 122.371094 1784286292.1272
MEM 122.371094 1784286292.2287
MEM 122.371094 1784286292.3289
MEM 122.371094 1784286292.4292
MEM 122.371094 1784286292.5295
MEM 122.371094 1784286292.6298
MEM 122.371094 1784286292.7329
MEM 122.371094 1784286292.8332
MEM 122.371094 1784286292.9335
MEM 122.371094 1784286293.0366
MEM 122.371094 1784286293.1406
