CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 0.605469 1784477400.7833
MEM 26.628906 1784477400.8836
MEM 38.132812 1784477400.9839
MEM 51.398438 1784477401.0843
MEM 66.648438 1784477401.1898
MEM 66.648438 1784477401.2900
MEM 66.648438 1784477401.3903
MEM 66.648438 1784477401.4907
MEM 74.468750 1784477401.5909
MEM 90.472656 1784477401.6912
MEM 94.359375 1784477401.7914
MEM 107.308594 1784477401.8938
MEM 107.312500 1784477401.9956
MEM 109.636719 1784477402.0959
MEM 102.695312 1784477402.1962
MEM 104.589844 1784477402.2964
MEM 109.476562 1784477402.3967
MEM 105.734375 1784477402.4970
MEM 107.152344 1784477402.5977
MEM 104.582031 1784477402.7005
MEM 112.597656 1784477402.8008
MEM 112.597656 1784477402.9011
MEM 110.699219 1784477403.0013
MEM 116.644531 1784477403.1038
MEM 117.019531 1784477403.2041
MEM 112.066406 1784477403.3044
MEM 112.195312 1784477403.4047
MEM 113.437500 1784477403.5050
MEM 113.488281 1784477403.6098
MEM 114.371094 1784477403.7100
MEM 116.980469 1784477403.8103
MEM 112.500000 1784477403.9106
MEM 115.066406 1784477404.0109
MEM 112.484375 1784477404.1111
MEM 110.453125 1784477404.2114
MEM 110.394531 1784477404.3138
MEM 114.972656 1784477404.4157
MEM 114.976562 1784477404.5162
MEM 114.433594 1784477404.6193
MEM 117.558594 1784477404.7196
MEM 117.562500 1784477404.8199
MEM 117.687500 1784477404.9218
MEM 117.742188 1784477405.0259
MEM 119.093750 1784477405.1262
MEM 119.097656 1784477405.2265
MEM 114.570312 1784477405.3268
MEM 116.191406 1784477405.4270
MEM 119.667969 1784477405.5273
MEM 123.339844 1784477405.6275
MEM 123.339844 1784477405.7279
MEM 123.339844 1784477405.8282
MEM 123.339844 1784477405.9286
MEM 123.339844 1784477406.0338
MEM 123.339844 1784477406.1345
MEM 116.082031 1784477406.2378
MEM 116.082031 1784477406.3383
MEM 120.621094 1784477406.4415
