CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 0.441406 1784812982.2375
MEM 24.941406 1784812982.3378
MEM 36.125000 1784812982.4382
MEM 47.933594 1784812982.5384
MEM 66.019531 1784812982.6400
MEM 66.457031 1784812982.7403
MEM 66.457031 1784812982.8406
MEM 66.457031 1784812982.9409
MEM 80.460938 1784812983.0459
MEM 91.949219 1784812983.1479
MEM 112.851562 1784812983.2482
MEM 116.019531 1784812983.3485
MEM 111.230469 1784812983.4489
MEM 113.070312 1784812983.5540
MEM 113.761719 1784812983.6544
MEM 113.503906 1784812983.7550
MEM 115.125000 1784812983.8554
MEM 117.132812 1784812983.9578
MEM 117.136719 1784812984.0581
MEM 117.148438 1784812984.1586
MEM 112.906250 1784812984.2589
MEM 116.328125 1784812984.3592
MEM 115.250000 1784812984.4594
MEM 120.191406 1784812984.5597
MEM 115.257812 1784812984.6600
MEM 116.738281 1784812984.7603
MEM 116.742188 1784812984.8642
MEM 120.316406 1784812984.9645
MEM 120.410156 1784812985.0648
MEM 120.414062 1784812985.1651
MEM 116.367188 1784812985.2654
MEM 119.601562 1784812985.3656
MEM 119.207031 1784812985.4699
MEM 119.269531 1784812985.5738
MEM 120.968750 1784812985.6740
MEM 114.460938 1784812985.7743
MEM 117.574219 1784812985.8759
MEM 119.582031 1784812985.9762
MEM 119.585938 1784812986.0764
MEM 120.945312 1784812986.1767
MEM 116.152344 1784812986.2770
MEM 118.035156 1784812986.3773
MEM 119.593750 1784812986.4775
MEM 121.226562 1784812986.5779
MEM 124.371094 1784812986.6801
MEM 124.375000 1784812986.7818
MEM 124.375000 1784812986.8858
MEM 120.781250 1784812986.9860
MEM 124.597656 1784812987.0863
MEM 124.765625 1784812987.1866
MEM 117.195312 1784812987.2868
MEM 120.140625 1784812987.3874
MEM 126.414062 1784812987.4877
MEM 128.183594 1784812987.5898
MEM 129.937500 1784812987.6910
MEM 129.941406 1784812987.7913
MEM 129.941406 1784812987.8916
MEM 129.945312 1784812987.9919
MEM 129.949219 1784812988.0922
MEM 129.949219 1784812988.1938
MEM 129.972656 1784812988.2978
MEM 130.695312 1784812988.4059
MEM 130.695312 1784812988.5090
MEM 130.695312 1784812988.6093
MEM 130.699219 1784812988.7095
MEM 122.695312 1784812988.8098
MEM 125.632812 1784812988.9101
MEM 127.648438 1784812989.0104
MEM 127.652344 1784812989.1106
MEM 127.652344 1784812989.2109
MEM 127.835938 1784812989.3111
MEM 127.835938 1784812989.4114
MEM 127.902344 1784812989.5116
MEM 131.648438 1784812989.6119
MEM 131.648438 1784812989.7121
MEM 131.648438 1784812989.8124
MEM 131.648438 1784812989.9127
MEM 131.648438 1784812990.0129
MEM 131.652344 1784812990.1138
MEM 131.652344 1784812990.2141
MEM 131.652344 1784812990.3157
MEM 131.652344 1784812990.4159
MEM 131.652344 1784812990.5168
MEM 131.656250 1784812990.6178
MEM 131.660156 1784812990.7218
MEM 131.660156 1784812990.8237
MEM 131.660156 1784812990.9240
MEM 131.660156 1784812991.0243
MEM 131.660156 1784812991.1245
MEM 131.660156 1784812991.2249
MEM 131.664062 1784812991.3252
MEM 123.105469 1784812991.4338
MEM 123.105469 1784812991.5372
MEM 123.105469 1784812991.6419
MEM 128.078125 1784812991.7432
MEM 128.082031 1784812991.8435
MEM 128.082031 1784812991.9439
MEM 128.253906 1784812992.0442
MEM 128.253906 1784812992.1445
MEM 128.257812 1784812992.2455
MEM 128.257812 1784812992.3498
MEM 128.257812 1784812992.4578
MEM 128.257812 1784812992.5581
MEM 128.257812 1784812992.6611
MEM 128.257812 1784812992.7615
MEM 128.261719 1784812992.8620
MEM 129.656250 1784812992.9658
MEM 129.656250 1784812993.0660
MEM 129.656250 1784812993.1663
MEM 129.656250 1784812993.2666
MEM 129.660156 1784812993.3698
MEM 129.667969 1784812993.4702
MEM 129.667969 1784812993.5705
MEM 129.667969 1784812993.6708
MEM 129.675781 1784812993.7710
MEM 129.675781 1784812993.8713
MEM 129.675781 1784812993.9716
MEM 129.679688 1784812994.0719
MEM 129.679688 1784812994.1721
MEM 129.679688 1784812994.2725
MEM 129.679688 1784812994.3728
